Session Name,Session Date,Timestamp,Note Text,Tags,Attachments
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:16:19,Added step controls with no issue,Naturalness; Edit embedding,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:17:55,Adding a step inside the for-loop,Naturalness; Edit steps,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:18:08,"""Yes!"" sees the Probability show up",Naturalness,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:18:55,Adds an expression highlighting easily,Naturalness; Edit steps,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:20:23,"""I want to show the running sum somewhere"" ""I want to show what is E so far""",Design Patterns,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:24:09,"Added a description ""I want to describe the current entire step""",Design Patterns,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:24:53,"try to concatenate a \n character ""I want to create a new line to make it more readable"" But this was not possible",Unexpected usage; Friction,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:25:48,Checkpoint state,Design Patterns,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:27:57,Final completed,Design Patterns,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:29:16,"In regards to why she used one step call. ""Given the summation, each step is the same given the values, and it is in a loop, and the difference is what is being multiplied with what, so a step call is the same step and it is just the numerical value""",Design Patterns; Experiment / Iterate,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:30:38,"""I wish that there is a way to show what are the different probability values"" in regards to her choices of P(X) and P(x)",Friction,1
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:00:59,Copies over the formula from the tutorial,Edit formula; Experiment / Iterate,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:01:18,Replaces formula with the exponential decay formula,Edit formula; Experiment / Iterate,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:01:58,Starts working on the variables,Edit variables,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:03:30,"""I found the creation of variables to be a bit annoying since it takes more effort, so Ill focus on semantics for now""",Friction; Edit variables,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:04:41,Seems to put in some placeholder variables first,Experiment / Iterate; Edit semantics,1
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:05:20,Pastes in the variable template from the tutorial and then replacing the variable id with the ones she added,Experiment / Iterate; Edit variables,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:06:05,"""Trying to figure out N_0, I know that it will be a draggable thing""",,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:09:56,Choses an extremely large default value to be realistic for the number of atoms,Design Patterns; Edit variables,1
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:10:21,Set's lambda initially but without the \\,Edit variables; Error; Friction,1
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:11:32,"""lambda is a constant so it should not be draggable""",Design Patterns; Edit variables,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:13:15,"""The only think I am trying to figure out is why is there no label for lambda""",Error,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:13:56,Goes through entire variables and semantics section to fix the mentioning of complex variable names,Naturalness; Edit semantics,1
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:15:28,Fixed the sigfigs of the lambda to be 3 instead of 4,Naturalness,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:17:06,I wish the t should be placed there *points to the right most t in the formula,Design Patterns,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:18:11,"""for the semantics, if i put everything in one line together, it would be very long""",,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:18:28,"""I want my semantics to have multiple shorter lines to look like readable code""",Edit semantics,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:21:04,"""Once i started writing down everything here (the semantics area), I would know which vars i need""",Experiment / Iterate; Edit semantics,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:21:35,"""Defining the variable seems to be just the name and given values, they are less important in my opinion""",Experiment / Iterate; Edit variables,0
Participant 19-1 ✅,"3/17/2026, 7:25:21 PM",00:23:32,"""I wasn't expecting anything to show up, I wasnt even looking at the rendered website until I am done"" ""Looking at the description of the formula, I learned about the meaning first, so I worked on the semantics first""",Experiment / Iterate,0
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:00:50,Reads through the task description,Experiment / Iterate,0
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:01:32,Starts with formula creation,Edit formula,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:02:18,Creates a config variable for X,Edit variables,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:03:00,Creates the variables with the name first,Edit variables; Experiment / Iterate,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:04:19,Sets a default array variable value,Edit variables; Naturalness,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:06:04,"Uses helpful in-function variable names to make sense of the semantics, just like in real code",Design Patterns; Edit semantics,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:08:18,Playing and making sense of how to build the semantics to represent the concept,Experiment / Iterate; Edit semantics,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:12:21,Was wondering why the variable labels only show the existing variable array value and was wondering how to bring out the instance of a variable display while stepping through,,0
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:17:30,Used a case syntax before changing her mind due to unfamiliar syntax so used the if statement instead and created instantiated step-through,Unexpected usage; Design Patterns,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:18:03,Code checkpoint,Design Patterns,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:19:48,Asked about if there is ways to show the intermediate outcome,,0
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:21:34,Added expression label for intermediate computation,Edit steps; Design Patterns,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:24:21,Asked about ways for string escaping because she needed to format the number and the string inside the description. I pointed her to the latex and sigfig and precision chaining commands,Edit steps,0
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:25:26,"Designed the step through to use if statements for case by case scenarios, then also used for loop as well as iterated upon existing steps, also used expression",Design Patterns; Edit steps,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:27:28,"She doesnt like the appearance, the labels when there is a lot of them and they are long, the visualization might seem a little bit much",Friction; Design Patterns,1
Participant 45-2 ✅,"3/16/2026, 6:05:40 PM",00:28:13,She also doesn't like the appearance because she wishes the label placement is better,Friction; Design Patterns,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:02:54,Starts with the id of the formula and then paste in the formula,Edit formula; Experiment / Iterate,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:05:02,Looks back at her tutorial code for the variable configs instead of the tutorial material,Edit variables; Experiment / Iterate,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:05:50,Giving the variables decently long names,Edit variables; Design Patterns,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:06:22,Added lambda variable config,Edit variables,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:06:27,added t variable config,Edit variables,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:06:54,added N(t) variable config,Edit variables,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:07:25,"correctly writes out a vars[""N(t)""] call",Naturalness; Experiment / Iterate; Edit semantics,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:07:57,then proceed to return line and try to add other previous computation steps above it,Experiment / Iterate; Edit semantics,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:08:08,Copies over the math.exp code,Experiment / Iterate; Edit semantics,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:08:30,"sees that the lambda is not working because it is \\lambda, correctly to a vars call",Naturalness; Edit semantics,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:10:35,Spending a while fixing this,Friction; Error; Edit semantics,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:11:32,"Adjusting name of N(t), making sense of the formula herself",Experiment / Iterate; Edit variables,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:11:53,Setting default for decay constant at 1000,Edit variables,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:12:00,Setting it as 0.000121,Edit variables,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:12:50,"""the decay constant shows up as 0.00 because the exponent is very small""",Edit variables; Friction; Naturalness; Experiment / Iterate,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:14:27,"Starts using sigfigs and sets it as 7, sees the extra 0s, changes it to 6 sigfigs",Experiment / Iterate; Edit variables; Design Patterns,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:17:27,"Cares a lot about the design and realism about the display - ""I guess you want to teach people about the mathematic concept""",Design Patterns,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:18:24,Adjusting the settings and playing with it to tune the details,Experiment / Iterate,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:19:58,Looks at the example scenario alot,Experiment / Iterate; Design Patterns,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:24:58,"Asked about circular dependency, she wants to design the formula such that the N(t) which is initially dependent",Design Patterns; Experiment / Iterate,0
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:25:52,"She was wondering about the second question, which does pose a new design for semantics as a function solver",Unexpected usage,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:26:32,Decides to add a new formula entirely for the second question in the example scenario,Naturalness; Design Patterns; Edit embedding,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:27:08,Usage of html with the formulize components,Naturalness; Design Patterns; Edit embedding,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:28:37,Two formulas,Design Patterns,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:28:59,Formulas,Design Patterns,1
Participant 45-1 ✅,"3/16/2026, 6:00:23 PM",00:30:24,"Was asking about the variables sharing same context, i told her to maybe use new config in this scenario",Friction; Experiment / Iterate; Design Patterns,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:00:21,Came up with formula id and latex fields easily,Edit formula; Naturalness,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:03:10,"came up with intuitive variable names relatively quickly, self corrected not having name field for the first variable's name initially",Edit variables; Naturalness,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:03:57,went back to tutorial when starting the semantics section to reference the array type for X variable declaration,Edit semantics; Experiment / Iterate,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:05:57,"Assigned probabilities and input set of events, and looked at output to see if the arrays for X and P(x) were there (which they were). Correctly noted that next step was to add in steps / computation",Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:09:33,"Referenced tutorial 2 code when completing step calls, showed understanding of the pedagogical value when designing the step calls as a for-loop and labeling each part of the expression",Experiment / Iterate; Design Patterns; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:11:16,Added another step call at end to show accumulated values resulting in final expected value,Design Patterns; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:12:57,"""I'm a bit confused why there's no steps showing""",Friction; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:16:42,Tried changing values of X in array,Experiment / Iterate; Edit steps; Edit variables,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:17:14,"Didn't notice typo in step call, ""E: tota""",Error; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:18:30,"Realized that vars.E needed to be set after referencing Tutorial2 once again, commented out the step calls he made initially in order to ""see what's wrong""",Experiment / Iterate; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:19:36,"""We still don't have any steps though""",Error; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:20:15,"Tried to create a step call without having labels to isolate the issue again: ""even when I have just a description, it's still not giving anything... uhhh...""",Friction; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:22:06,"Finally realized he needed ""stepping: true"" at the start after looking at Tutorial2 code again, said ""oh""",Friction; Edit steps,0
Participant 80-2 ✅,"3/15/2026, 6:03:19 PM",00:23:48,"Looked through the resulting steps that finally appeared, added in a label at the end to display each of the values in the expression in final step call",,0
Participant 80-1 ✅,"3/15/2026, 5:31:25 PM",00:01:44,"Copied and pasted latex from tutorial, defined variables manually",Edit formula; Edit variables; Experiment / Iterate,0
Participant 80-1 ✅,"3/15/2026, 5:31:25 PM",00:03:36,"Initially had ""name"" for variables, self corrected quickly to put just name as field",Edit variables; Experiment / Iterate,0
Participant 80-1 ✅,"3/15/2026, 5:31:25 PM",00:04:06,"had lambda for key initially, self corrected quickly and put \\lambda",Error; Edit variables; Naturalness,0
Participant 80-1 ✅,"3/15/2026, 5:31:25 PM",00:07:31,"Fixed id for formula, was ""atoms"" at first",Edit embedding; Error,0
Participant 80-1 ✅,"3/15/2026, 5:31:25 PM",00:10:10,Bro was done quickly,Naturalness,0
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:00:00,Accidentally wrote something that is not a variable,Edit variables; Error,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:01:00,“Ohh I have to use a for loop” “They all need to do the same thing”,Naturalness; Design Patterns; Edit semantics,0
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:04:00,Adding in array values,Edit variables; Experiment / Iterate,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:05:00,Replaced each variable declaration by using the existing tutorial code,Experiment / Iterate; Edit semantics,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:06:00,comments out copied existing steps,Experiment / Iterate; Edit steps,0
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:09:00,Made a mixed text and value step,Design Patterns; Naturalness,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:10:00,“I think something is wrong syntactically”,Friction; Experiment / Iterate,0
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:14:00,reached this,Design Patterns; Naturalness,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:16:00,"“you see this is kind of annoying, why is there two brackets in every step”",Friction; Edit steps,0
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:18:00,Running into syntactical issues with brackets,Friction; Edit steps,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:19:00,This,Design Patterns,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:24:00,Used multiple steps inside and outside of loop,Design Patterns; Edit steps,1
Participant 57-2 ✅,"3/11/2026, 9:30:00 PM",00:26:00,Improved the explanation to highlight expression,Design Patterns; Edit steps; Naturalness,1
Participant 57-1 ✅,"3/11/2026, 8:31:13 PM",00:00:20,"""Ooooo fancy formula""",Naturalness,0
Participant 57-1 ✅,"3/11/2026, 8:31:13 PM",00:02:25,Copy and pasted the example code from tutorial for the formula,Experiment / Iterate; Edit formula,0
Participant 57-1 ✅,"3/11/2026, 8:31:13 PM",00:04:11,Added two formulas?,Edit formula; Design Patterns; Experiment / Iterate,1
